place_name,n_uses,kind,status,source,lat,lon,uncertainty_m,geonames_id,geonames_name,feature,country,admin1,qid,osm,confidence,note,decision
München,25143,settlement,linked,osm+geonames,48.13743,11.57549,5000,2867714,Munich,P.PPLA,DE,02,Q1726,relation/62428,0.95,entry context 0 km (67% of the entries),
Ismaning,17352,locality,linked,osm+geonames,48.23333,11.68333,2000,2895643,Ismaning,P.PPLA4,DE,02,Q254897,relation/2168245,0.95,entry context 3 km (94% of the entries),
Kaufbeuren,3442,settlement,linked,osm+geonames,47.88238,10.62192,2000,2892080,Kaufbeuren,P.PPLA3,DE,02,Q14805,relation/62349,0.95,entry context 0 km (76% of the entries),
Ismaninger Speichersee,2284,locality,linked,osm,48.21295,11.73915,1500,,,,,,Q61018113,relation/12038482,0.95,entry context 4 km (95% of the entries),
Pöcking,1638,,linked,osm+geonames,47.96667,11.30000,2000,2853066,Pöcking,P.PPLA4,DE,02,Q514747,relation/932449,0.95,entry context 1 km (87% of the entries),
Maisinger See,1560,locality,linked,osm+geonames,47.98023,11.28020,1000,2874169,Maisinger See,H.LK,DE,02,Q267041,relation/15273359,0.95,entry context 1 km (71% of the entries),
Tutzing,1409,locality,linked,osm+geonames,47.90938,11.28030,2000,2820692,Tutzing,P.PPLA4,DE,02,Q533166,relation/932435,0.95,entry context 1 km (90% of the entries),
Ismaninger Teichgebiet,1384,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Isar,1153,locality,linked,osm,48.25107,11.68398,3000,,,,,,Q106588,relation/273028,0.95,entry context 2 km (100% of the entries),
Hagnau,700,,linked,osm+geonames,47.67666,9.31787,1500,2912417,Hagnau,P.PPL,DE,01,Q539889,relation/2783927,0.95,entry context 2 km (77% of the entries),
Harlaching,605,locality,linked,osm+geonames,48.08978,11.56345,1000,2910448,Harlaching,P.PPLX,DE,02,Q52265016,node/60530001,0.95,entry context 1 km (94% of the entries),
Starnberger See,598,locality,linked,osm+geonames,47.90348,11.31187,1000,2829454,Starnberger See,H.LK,DE,02,Q131615,relation/168892,0.95,entry context 2 km (89% of the entries),
Perlacher Forst,584,locality,linked,osm+geonames,48.06721,11.57664,1500,2854856,Perlacher Forst,V.FRST,DE,02,Q252634,relation/38897,0.95,entry context 2 km (100% of the entries),
Ampermoos,498,locality,linked,osm,48.10120,11.13375,1500,,,,,,Q56102914,way/1116043568,0.95,entry context 1 km (98% of the entries),
Bernried,450,,linked,osm,47.78939,10.79665,500,,,,,,,node/416049712,0.95,entry context 16 km (75% of the entries),
Maininger See,431,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Starnberg,415,locality,linked,osm+geonames,48.00193,11.34416,2000,2829457,Starnberg,P.PPLA3,DE,02,Q61936,relation/932485,0.95,entry context 1 km (96% of the entries),
Tierpark Hellabrunn,400,locality,linked,osm+geonames,48.09780,11.55446,500,7733347,Hellabrunn Zoo,S.ZOO,DE,02,Q264691,way/156435529,0.95,entry context 1 km (100% of the entries),
Wertach,390,locality,linked,osm+geonames,47.60301,10.40966,1500,2810728,Wertach,P.PPL,DE,02,Q549138,relation/958081,0.95,entry context 7 km (90% of the entries),
Tafelberg,380,locality,linked,osm,49.48446,11.78224,500,,,,,,,node/4483317389,0.85,,
Ammersee,355,locality,linked,osm+geonames,47.99668,11.12716,1000,2956426,Ammersee,H.LK,DE,02,Q265336,relation/168893,0.95,entry context 4 km (94% of the entries),
Grafrath,345,locality,linked,osm+geonames,48.11667,11.16667,2000,2918232,Grafrath,P.PPLA4,DE,02,Q503617,relation/933540,0.95,entry context 2 km (100% of the entries),
Nymphenburger Schlosspark,321,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Germering,292,,linked,osm+geonames,48.13392,11.37650,1500,2921039,Germering,P.PPL,DE,02,Q14898,relation/933480,0.95,entry context 5 km (96% of the entries),
Münster,279,settlement,linked,osm+geonames,47.42164,11.83356,2000,2771028,Münster,P.PPLA3,AT,07,Q686524,relation/972054,0.95,,
Buchloe,273,,linked,osm+geonames,48.03719,10.72548,1500,2942281,Buchloe,P.PPL,DE,02,Q265110,relation/442789,0.95,entry context 4 km (78% of the entries),
Emmering,271,locality,linked,osm+geonames,48.18333,11.28333,2000,2930500,Emmering,P.PPLA4,DE,02,Q203397,relation/933487,0.95,entry context 2 km (90% of the entries),
Falkenstein,270,locality,linked,geonames,47.57000,10.59167,500,2927922,Falkenstein,T.MT,DE,02,Q31547515,,0.95,GeoNames primary name match (DE); entry context 1 km (59% of the entries),
Feldwies,259,locality,linked,osm+geonames,47.83240,12.48468,1500,2927283,Feldwies,P.PPL,DE,02,,node/60950708,0.95,,
Maining,248,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Eching,228,locality,linked,osm+geonames,48.07991,11.11336,1500,2933801,Eching,P.PPL,DE,02,Q165818,relation/933872,0.95,entry context 1 km (81% of the entries),
Hochleite,220,,linked,osm,48.04619,11.51476,500,,,,,,,node/2955113215,0.95,entry context 1 km (100% of the entries),
Hirschau,212,locality,linked,osm,47.74436,10.83568,500,,,,,,,node/343349240,0.85,,
Mairinger See,210,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Schirm,208,locality,review,osm,50.54243,12.08175,1500,,,,,,,way/396402360,0.45,"OSM amenity/fast_food named after the place; far from most of the entries' other places (3% within 80 km, nearest 43 km)",
Aumeister,205,,linked,osm,48.18559,11.62037,100,,,,,,,way/35955615,0.90,OSM amenity/biergarten named after the place; entry context 2 km (100% of the entries),
Freising,202,locality,linked,osm+geonames,48.40351,11.74876,2000,2925034,Freising,P.PPLA3,DE,02,Q6998,relation/30005,0.95,entry context 1 km (95% of the entries),
Kleinhesseloher See,201,locality,linked,osm,48.15941,11.59612,1000,,,,,,Q1746836,relation/62215,0.95,entry context 1 km (100% of the entries),
Harlachinger Berg,201,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Bodensee,198,locality,linked,osm,47.64777,9.34718,1000,,,,,,Q4127,relation/1156846,0.95,entry context 3 km (68% of the entries),
Thalkirchen,197,,linked,osm+geonames,48.10075,11.54344,1000,2823058,Thalkirchen,P.PPLX,DE,02,Q51912577,node/702787847,0.95,entry context 1 km (95% of the entries),
Freiburg im Breisgau,195,route,linked,osm+geonames,47.99590,7.85222,3000,2925177,Freiburg,P.PPLA2,DE,01,Q2833,relation/62768,0.95,entry context 0 km (50% of the entries),
Nymphenburger Park,192,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Grünwald,191,,linked,osm+geonames,48.03947,11.52320,2000,2914064,Grünwald,P.PPLA4,DE,02,Q220090,relation/415806,0.95,entry context 1 km (97% of the entries),
Stegen,186,locality,linked,osm+geonames,48.07785,11.13327,800,2829129,Stegen,P.PPLL,DE,02,Q56101683,node/302215109,0.95,entry context 1 km (100% of the entries),
Augsburg,180,locality,linked,osm+geonames,48.37154,10.89851,3000,2954172,Augsburg,P.PPLA2,DE,02,Q2749,relation/62407,0.95,entry context 3 km (30% of the entries),
Pupplinger Au,180,locality,linked,osm+geonames,47.93333,11.43333,1500,2851670,Pupplinger Au,V.FRST,DE,02,Q2118706,relation/936972,0.95,entry context 2 km (93% of the entries),
Neufinsing,176,,linked,osm+geonames,48.22084,11.80103,1500,3208356,Neufinsing,P.PPL,DE,02,Q57751962,node/108098138,0.95,entry context 2 km (100% of the entries),
Hinterstein,175,locality,linked,osm+geonames,47.48055,10.40577,1500,2903965,Hinterstein,P.PPL,DE,02,Q1619824,node/21636000,0.95,entry context 3 km (43% of the entries),
Bad Schandau,165,settlement,linked,osm+geonames,50.91743,14.15494,1500,2953352,Bad Schandau,P.PPL,DE,13,Q6406,relation/534534,0.95,entry context 1 km (75% of the entries),
Zell am Moos,161,route,linked,osm+geonames,47.90000,13.31667,2000,2760636,Zell am Moos,P.PPLA3,AT,04,Q187540,relation/102313,0.95,entry context 5 km (86% of the entries),
Dortmund,156,locality,linked,osm+geonames,51.51494,7.46600,2000,2935517,Dortmund,P.PPLA3,DE,07,Q1295,relation/1829065,0.95,,
Hintersteiner See,151,route,linked,osm+geonames,47.54003,12.21834,1000,2776237,Hintersteiner See,H.LK,AT,07,Q1619830,relation/17037003,0.95,entry context 2 km (88% of the entries),
Nymphenburg,150,locality,linked,osm+geonames,48.15853,11.49857,1000,2861525,Nymphenburg,P.PPLX,DE,02,Q59643691,way/1428889751,0.95,entry context 2 km (100% of the entries),
Überfälle,147,locality,no_match,osm,47.14805,16.12035,1500,,,,,,,node/6819891929,0.30,OSM information/board named after the place; 210 km from the entries' other places (0% within 80 km),
Lovran,144,settlement,linked,geonames,45.29194,14.27417,3000,3196175,Lovran,P.PPLA2,HR,12,Q757311,,0.80,GeoNames primary name match (HR); entry context 1 km (89% of the entries),
Obersee,139,locality,linked,osm,49.75933,11.78867,500,,,,,,,node/6394750502,0.95,entry context 26 km (22% of the entries),
Chiemsee,138,locality,linked,osm+geonames,47.86233,12.40122,2000,2940126,Chiemsee,P.PPLA4,DE,02,Q705821,relation/2168239,0.95,entry context 0 km (33% of the entries),
Ismaninger Kanal,138,,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Fürstenfeldbruck,137,route,linked,osm+geonames,48.17904,11.25470,2000,2923625,Fürstenfeldbruck,P.PPLA3,DE,02,Q16003,relation/933490,0.95,entry context 2 km (97% of the entries),
Echinger Weiher,137,locality,linked,osm,48.31551,11.61680,1000,,,,,,,way/4469716,0.95,entry context 8 km (100% of the entries),
Seeshaupt,134,locality,linked,osm+geonames,47.82468,11.30219,2000,2833590,Seeshaupt,P.PPLA4,DE,02,Q518061,relation/936913,0.95,entry context 2 km (71% of the entries),
Moosburg an der Isar,132,locality,linked,geonames,48.47089,11.93811,1500,2869449,Moosburg,P.PPL,DE,02,Q32142558,,0.85,GeoNames contains name match (DE); entry context 3 km (50% of the entries),
Simmering,131,settlement,linked,geonames,48.18333,16.43333,1000,2765028,Simmering,P.PPLX,AT,09,Q2287228,,0.90,GeoNames primary name match (AT); entry context 4 km (100% of the entries),
Radolfzell,130,locality,linked,osm+geonames,47.74194,8.97098,1500,2850954,Radolfzell,P.PPL,DE,01,Q16113,relation/2784987,0.95,entry context 2 km (90% of the entries),
Lindau,129,locality,linked,osm+geonames,47.54612,9.68431,2000,2877550,Lindau,P.PPLA3,DE,02,Q153969,relation/959426,0.95,entry context 2 km (71% of the entries),
Hagnau am Bodensee,128,route,linked,osm+geonames,47.67579,9.31499,3000,6556041,Hagnau am Bodensee,A.ADM4,DE,01,Q539889,relation/2783927,0.95,entry context 4 km (80% of the entries),
Stauwehr an der Isar,128,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Elbsee,126,locality,linked,osm+geonames,47.79977,10.55300,1000,2931232,Elbsee,H.LK,DE,02,Q1325444,way/170930772,0.95,entry context 2 km (100% of the entries),
Achenmündung,126,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Mairing,126,locality,linked,osm+geonames,48.22707,13.38427,1500,2772069,Mairing,P.PPL,AT,04,,node/240074388,0.80,"far from most of the entries' other places (7% within 80 km, nearest 20 km)",
Amper,125,locality,linked,osm+geonames,48.50030,11.95554,3000,2956389,Amper,H.STM,DE,02,Q166301,way/4492426,0.95,,
Söcking,125,locality,linked,osm+geonames,48.00056,11.31738,1500,2831729,Söcking,P.PPL,DE,02,Q1368459,node/1700541728,0.95,entry context 2 km (95% of the entries),
Maisinger Schlucht,123,,linked,osm,47.99063,11.29908,500,,,,,,,way/179248126,0.90,OSM highway/track named after the place; entry context 1 km (100% of the entries),
Grünwalder Forst,121,,linked,osm+geonames,48.03164,11.55279,1500,2914060,Grünwalder Forst,V.FRST,DE,02,Q1467128,relation/944959,0.95,entry context 1 km (100% of the entries),
Herrsching,119,locality,linked,geonames,47.99885,11.17057,300,11974275,Herrsching,S.RSTN,DE,02,,,0.95,GeoNames primary name match (DE); entry context 3 km (83% of the entries),
Semmering,115,region,linked,osm+geonames,47.63347,15.82993,2000,2765170,Semmering,P.PPLA3,AT,03,Q659891,relation/103769,0.95,,
Mering,114,locality,linked,osm+geonames,48.26560,10.98461,1500,2871813,Mering,P.PPL,DE,02,Q275579,relation/161796,0.95,entry context 4 km (71% of the entries),
Keilberg,114,locality,linked,osm+geonames,49.04248,12.15946,1500,2891881,Keilberg,P.PPL,DE,02,,node/5086661602,0.95,,
Maising,113,,linked,osm+geonames,47.98590,11.28983,1500,2874171,Maising,P.PPL,DE,02,Q1885870,node/1700541707,0.95,entry context 1 km (97% of the entries),
Isarbrücke,112,,review,osm,47.39664,11.26622,500,,,,,,,way/25031200,0.45,"OSM highway/track named after the place; far from most of the entries' other places (6% within 80 km, nearest 61 km)",
Vorklärteich,111,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Freiburg,110,settlement,linked,osm+geonames,47.99590,7.85222,3000,2925177,Freiburg,P.PPLA2,DE,01,Q2833,relation/62768,0.95,entry context 0 km (70% of the entries),
Wollmatinger Ried,109,locality,linked,osm,47.67594,9.14324,1500,,,,,,,node/7777455169,0.90,OSM information/board named after the place; entry context 1 km (57% of the entries),
Gauting,108,locality,linked,osm+geonames,48.06919,11.37703,2000,2922230,Gauting,P.PPLA4,DE,02,Q74057,relation/932494,0.95,entry context 2 km (90% of the entries),
Überlingen,106,route,linked,osm+geonames,47.76977,9.17136,1500,2820577,Überlingen,P.PPL,DE,01,Q332952,relation/2784807,0.95,entry context 4 km (55% of the entries),
Hagenau,105,settlement,linked,osm+geonames,49.15072,12.11260,1500,2912583,Hagenau,P.PPL,DE,02,,node/319611864,0.95,,
Unterföhring,105,locality,linked,osm+geonames,48.19253,11.64293,2000,2819568,Unterföhring,P.PPLA4,DE,02,Q267408,relation/2168251,0.95,entry context 2 km (100% of the entries),
Meininger See,104,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Winterteiche,104,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Hintersee,103,locality,linked,osm+geonames,47.70000,13.28333,2000,2776240,Hintersee,P.PPLA3,AT,05,Q701169,relation/87092,0.95,entry context 21 km (27% of the entries),
Hirschzell,101,locality,linked,osm+geonames,47.86993,10.64445,1500,2903554,Hirschzell,P.PPL,DE,02,Q2718605,node/82666173,0.95,entry context 2 km (100% of the entries),
Aitrang,99,locality,linked,osm+geonames,47.81667,10.53333,2000,2958795,Aitrang,P.PPLA4,DE,02,Q411004,relation/447974,0.95,entry context 2 km (94% of the entries),
Flaucher,99,locality,linked,osm,48.10937,11.55897,800,,,,,,Q1427434,way/4641748,0.95,entry context 1 km (100% of the entries),
Garmisch,98,route,linked,osm+geonames,47.49257,11.08649,1000,2922532,Garmisch,P.PPLX,DE,02,,node/7839987371,0.95,entry context 1 km (47% of the entries),
Oberammergau,98,settlement,linked,osm+geonames,47.59812,11.06692,2000,2861422,Oberammergau,P.PPLA4,DE,02,Q503757,relation/937907,0.95,entry context 4 km (50% of the entries),
Gallerweiher,97,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Grenzügen,96,route,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Korfu,95,route,review,geonames,39.62441,19.92016,5000,2463679,Corfu,P.PPLA,GR,ESYE22,,,0.65,GeoNames alternate name match (GR),
Bogenhausen,94,locality,linked,osm+geonames,48.15221,11.61585,1000,2947022,Bogenhausen,P.PPLX,DE,02,Q278590,node/1686467595,0.95,entry context 2 km (100% of the entries),
Bad Schmiedeberg,93,settlement,review,osm+geonames,51.68516,12.73483,1500,2953350,Bad Schmiedeberg,P.PPL,DE,14,Q522557,relation/1327705,0.65,543 km from the entries' other places (0% within 80 km),
Bernbach,92,locality,linked,osm+geonames,47.82267,10.68990,1500,2950088,Bernbach,P.PPL,DE,02,,node/319736711,0.95,entry context 3 km (96% of the entries),
Tüching,92,settlement,linked,osm+geonames,48.40721,11.75846,1500,2820849,Tuching,P.PPL,DE,02,Q2459100,relation/10669868,0.95,,
Isarfälle,92,,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Lindenau,91,locality,linked,osm+geonames,47.55510,9.86117,1500,2877433,Lindenau,P.PPL,DE,02,Q106317012,node/301097562,0.95,,
Wörthsee,91,locality,linked,osm+geonames,48.07250,11.20175,2000,2806072,Wörthsee,P.PPLA4,DE,02,Q526480,relation/932238,0.95,entry context 3 km (94% of the entries),
Forstenrieder Park,88,locality,linked,osm+geonames,48.05476,11.46363,800,3208336,Forstenrieder Park,L.PRK,DE,02,Q1438266,relation/419030,0.95,entry context 4 km (100% of the entries),
Föhringer Kanal,87,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Lech,85,locality,linked,osm+geonames,47.20797,10.14184,2000,2772798,Lech,P.PPLA3,AT,08,Q567731,relation/74794,0.95,,
Garmisch-Partenkirchen,83,,linked,osm+geonames,47.49209,11.09576,2000,2922530,Garmisch-Partenkirchen,P.PPLA3,DE,02,Q127043,relation/939334,0.95,entry context 1 km (50% of the entries),
Feldmoching,83,locality,linked,osm+geonames,48.21667,11.53333,1000,2927319,Feldmoching,P.PPLX,DE,02,Q52541307,node/36745058,0.95,entry context 7 km (100% of the entries),
Erdinger Moos,83,region,linked,geonames,48.33085,11.80135,10000,2929713,Erdinger Moos,L.AREA,DE,02,,,0.95,GeoNames primary name match (DE); entry context 4 km (100% of the entries),
Füssen,82,locality,linked,osm+geonames,47.57143,10.70171,1500,2923507,Füssen,P.PPL,DE,02,Q262684,relation/448298,0.95,entry context 1 km (81% of the entries),
Isarhang,82,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Stauweiher,81,locality,linked,geonames,48.50000,12.05000,1000,2829292,Stauweiher,H.LK,DE,02,,,0.95,GeoNames primary name match (DE); entry context 4 km (33% of the entries),
Speichersee-Gebiet,80,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Uppsala,80,,linked,osm+geonames,59.85882,17.63889,5000,2666199,Uppsala,P.PPLA,SE,21,Q25286,node/25735371,0.95,entry context 37 km (20% of the entries),
Nürnberg,79,route,linked,osm+geonames,49.45421,11.07752,2000,2861650,Nuremberg,P.PPLA3,DE,02,Q2090,relation/62780,0.95,,
Einlauf,79,locality,linked,osm,48.15614,11.59594,1500,,,,,,,node/331355032,0.90,OSM shop/kiosk named after the place; entry context 3 km (92% of the entries),
Meersburg,78,,linked,osm+geonames,47.69419,9.27113,1500,2872486,Meersburg,P.PPL,DE,01,Q498212,relation/2784048,0.95,entry context 2 km (93% of the entries),
Großhesselohe,77,,linked,osm+geonames,48.07160,11.53217,1000,2915513,Großhesselohe,P.PPLX,DE,02,Q52264863,node/1724649333,0.95,entry context 1 km (98% of the entries),
Bad Reichenhall,76,locality,linked,osm+geonames,47.72947,12.87819,2000,2953371,Bad Reichenhall,P.PPLA3,DE,02,Q487971,relation/941794,0.95,entry context 3 km (36% of the entries),
Schleißheim,74,,linked,geonames,48.25734,11.55795,300,2838682,Oberschleißheim,S.RSTN,DE,02,Q801280,,0.80,GeoNames contains name match (DE); entry context 7 km (100% of the entries),
Erding,74,locality,linked,osm+geonames,48.30603,11.90686,2000,2929715,Erding,P.PPLA3,DE,02,Q15980,relation/934743,0.95,entry context 6 km (100% of the entries),
Hindelang,73,locality,linked,osm,47.50629,10.36993,2000,,,,,,Q124605307,node/21635999,0.95,entry context 1 km (73% of the entries),
Isarring,73,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Spitalwald,72,locality,linked,osm+geonames,47.85000,10.65000,1500,2830384,Spitalwald,V.FRST,DE,02,Q33399689,relation/2267843,0.95,entry context 4 km (100% of the entries),
Oberstdorf,72,locality,linked,osm+geonames,47.40724,10.27939,1500,2858964,Oberstdorf,P.PPL,DE,02,Q266230,relation/958128,0.95,entry context 1 km (73% of the entries),
Mühltal,72,locality,linked,osm,47.42821,12.02756,500,,,,,,,node/30565059,0.85,,
Walchensee,71,locality,linked,osm+geonames,47.59100,11.31062,1500,2815228,Walchensee,P.PPL,DE,02,Q2540974,node/259070095,0.95,entry context 4 km (44% of the entries),
Emmendingen,71,,linked,osm+geonames,48.12096,7.85359,2000,2930523,Emmendingen,P.PPLA3,DE,01,Q494521,relation/1124268,0.95,entry context 14 km (33% of the entries),
Murnauer Moos,71,locality,linked,osm+geonames,47.65700,11.17575,1000,3205556,Murnauer Moos,H.MRSH,DE,02,Q1953772,relation/1632250,0.95,entry context 3 km (36% of the entries),
Weicht,70,locality,linked,osm+geonames,47.99831,10.67071,1500,2813127,Weicht,P.PPL,DE,02,Q2554953,node/1685790674,0.95,entry context 2 km (75% of the entries),
Westende,70,locality,review,geonames,52.56684,7.04744,1000,13640031,Westende,P.PPLX,DE,06,,,0.45,"GeoNames primary name match (DE); far from most of the entries' other places (0% within 80 km, nearest 117 km)",
Kissing,69,locality,linked,osm+geonames,48.30375,10.97088,2000,2890202,Kissing,P.PPLA4,DE,02,Q257284,relation/161795,0.95,entry context 4 km (67% of the entries),
Werkkanal,69,,linked,osm,48.47866,11.96545,1500,,,,,,,way/4785627,0.95,entry context 31 km (69% of the entries),
Angermoor,69,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Bernrieder Filz,68,,linked,osm,47.84955,11.25265,1500,,,,,,Q56417587,way/37201795,0.95,entry context 2 km (100% of the entries),
Giesinger Waldhaus,68,locality,linked,osm,48.08899,11.57430,1500,,,,,,,way/66749902,0.90,OSM building/detached named after the place; entry context 2 km (96% of the entries),
Fröcking,67,settlement,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Isartal,66,locality,linked,osm,48.05561,11.52175,3000,,,,,,Q202116,relation/415807,0.95,entry context 2 km (92% of the entries),
Moosach,66,locality,linked,osm+geonames,48.17952,11.51296,1000,2869510,Moosach,P.PPLX,DE,02,Q263163,relation/54385,0.95,entry context 3 km (100% of the entries),
Stadtbergen,66,locality,linked,osm+geonames,48.36641,10.84636,1500,2829790,Stadtbergen,P.PPL,DE,02,Q503300,relation/406928,0.95,entry context 4 km (30% of the entries),
Obich,66,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Bodensdorf,66,settlement,linked,osm+geonames,46.69111,13.97111,1500,2781629,Bodensdorf,P.PPL,AT,02,,node/206159916,0.95,entry context 2 km (89% of the entries),
Linthal,65,route,linked,osm+geonames,46.92127,8.99799,1500,2659878,Linthal,P.PPL,CH,GL,Q661454,node/32863361,0.95,entry context 2 km (100% of the entries),
Reichsforst,65,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Gennachmoos,64,locality,linked,osm,48.12220,10.69515,500,,,,,,,node/5074562208,0.95,entry context 1 km (100% of the entries),
En-See,64,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Murnau,64,locality,linked,osm+geonames,47.68085,11.20125,1500,2867445,Murnau am Staffelsee,P.PPL,DE,02,Q254356,relation/939375,0.95,entry context 2 km (57% of the entries),
Floßlände,64,locality,linked,osm,48.09264,11.54688,1500,,,,,,,way/156450262,0.95,entry context 1 km (100% of the entries),
Oberbeuren,63,locality,linked,osm+geonames,47.87170,10.59838,1500,2861268,Oberbeuren,P.PPL,DE,02,,node/82666172,0.95,entry context 2 km (92% of the entries),
Planegg,62,locality,linked,osm+geonames,48.10672,11.42483,2000,2853463,Planegg,P.PPLA4,DE,02,Q255796,relation/318693,0.95,entry context 2 km (100% of the entries),
Osterseen,62,locality,linked,osm,47.80715,11.31364,1500,,,,,,Q56150516,relation/5390702,0.95,entry context 2 km (67% of the entries),
Mytikas,62,route,review,osm+geonames,38.99744,20.70639,1500,256870,Mýtikas,P.PPL,GR,ESYE21,Q21500686,node/347258000,0.65,1140 km from the entries' other places (0% within 80 km),
Isarkanal,62,locality,linked,osm,48.20938,11.70543,1500,,,,,,,way/46995922,0.95,entry context 3 km (100% of the entries),
Aache-Einmündung in den Chiemsee,62,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
E.W.,62,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Vkl,62,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Stocklohe,62,locality,review,osm,49.60318,12.07971,500,,,,,,,node/1446378421,0.55,155 km from the entries' other places (0% within 80 km),
Ebenhausen,61,,linked,osm+geonames,47.98044,11.45136,1500,2934061,Ebenhausen,P.PPL,DE,02,Q21039776,node/3889466752,0.95,entry context 1 km (100% of the entries),
Kalamos,61,route,linked,osm+geonames,38.28447,23.86308,1500,261571,Kálamos,P.PPL,GR,ESYE31,Q1001880,node/1355455587,0.95,,
Würzburg,60,locality,linked,osm+geonames,49.79391,9.95121,3000,2805615,Würzburg,P.PPLA2,DE,02,Q2999,relation/62464,0.95,entry context 9 km (22% of the entries),
Allach,60,locality,linked,osm+geonames,48.19267,11.46235,1000,2958474,Allach,P.PPLX,DE,02,Q52326645,node/51545712,0.95,entry context 5 km (100% of the entries),
Possenhofen,60,,linked,osm+geonames,47.95947,11.31038,1500,2852520,Possenhofen,P.PPL,DE,02,Q559986,node/54805476,0.95,entry context 2 km (79% of the entries),
Ismaninger Teiche,60,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Ermaring,60,settlement,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Meiringer See,59,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Frankenried,58,locality,linked,osm+geonames,47.87097,10.66801,1500,2925564,Frankenried,P.PPL,DE,02,,node/355312860,0.95,entry context 2 km (100% of the entries),
Wolfratshausen,58,locality,linked,osm+geonames,47.91289,11.42166,1500,2806768,Wolfratshausen,P.PPL,DE,02,Q503160,relation/935131,0.95,entry context 1 km (100% of the entries),
Ammerland,58,,linked,osm+geonames,47.90255,11.33501,1500,2956440,Ammerland,P.PPL,DE,02,Q19834503,node/206100089,0.95,entry context 2 km (100% of the entries),
Moosburg,58,locality,linked,osm+geonames,48.47089,11.93811,1500,2869449,Moosburg,P.PPL,DE,02,Q31872,relation/29996,0.95,entry context 3 km (36% of the entries),
Brunnenberg,58,locality,review,osm,48.98754,11.26373,300,,,,,,,node/10103318114,0.70,"far from most of the entries' other places (0% within 80 km, nearest 137 km)",
Isarleite,58,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Dießen am Ammersee,57,locality,linked,osm+geonames,47.95085,11.10306,1500,2937217,Dießen am Ammersee,P.PPL,DE,02,Q165501,relation/933895,0.95,entry context 2 km (44% of the entries),
Beuerberg,57,locality,linked,osm+geonames,47.82935,11.40853,1500,2949616,Beuerberg,P.PPL,DE,02,Q850858,node/59954794,0.95,entry context 3 km (100% of the entries),
Freiberg,57,locality,linked,osm+geonames,48.83994,9.20798,1000,11807619,Freiberg,P.PPLX,DE,01,Q20977790,relation/1107797,0.95,entry context 19 km (25% of the entries),
Freimann,57,locality,linked,osm+geonames,48.20000,11.61667,1000,2925065,Freimann,P.PPLX,DE,02,Q1454555,node/9164754129,0.95,entry context 2 km (100% of the entries),
Zeller See,57,,linked,osm,47.99022,9.48014,1000,,,,,,Q22694699,way/87287661,0.95,entry context 34 km (33% of the entries),
Stein,57,locality,linked,osm+geonames,50.08654,12.33473,1500,3066053,Skalka,P.PPL,CZ,81,Q1289194,node/1599034582,0.80,"far from most of the entries' other places (6% within 80 km, nearest 16 km)",
Durlacher Forst,57,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Schleißheimer Moos,56,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Antwinger Moos,56,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Fridolfing,56,settlement,linked,osm+geonames,47.99773,12.82628,2000,2924819,Fridolfing,P.PPLA4,DE,02,Q259202,relation/941659,0.80,"far from most of the entries' other places (0% within 80 km, nearest 94 km)",
