place_name,n_uses,kind,status,source,lat,lon,uncertainty_m,geonames_id,geonames_name,feature,country,admin1,qid,osm,confidence,note,decision
Speicher,10,locality,review,osm+geonames,47.41090,9.44335,1500,2658537,Speicher,P.PPL,CH,AR,Q67148,relation/1683940,0.65,179 km from the entries' other places (0% within 80 km),
Südteich,10,locality,review,osm,52.24912,10.52755,1000,,,,,,,relation/5903,0.55,317 km from the entries' other places (0% within 80 km),
Königsdorf,10,locality,linked,osm+geonames,47.81546,11.48063,2000,2885898,Königsdorf,P.PPLA4,DE,02,Q377715,relation/935160,0.95,entry context 3 km (100% of the entries),
Seekalpe,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Grünau,10,,linked,osm+geonames,49.56321,12.12822,1500,2914486,Grünau,P.PPL,DE,02,,node/2666766785,0.80,"far from most of the entries' other places (0% within 80 km, nearest 138 km)",
Sankt Wolfgang,10,locality,linked,osm+geonames,48.21667,12.13333,2000,2841457,Sankt Wolfgang,P.PPLA4,DE,02,Q548507,relation/934757,0.95,entry context 7 km (33% of the entries),
Weiherhammer,10,locality,linked,osm+geonames,49.63333,12.06667,2000,2812752,Weiherhammer,P.PPLA4,DE,02,Q510047,relation/1059440,0.95,entry context 2 km (50% of the entries),
Kampenwand,10,locality,linked,osm+geonames,47.75581,12.36777,300,2893293,Kampenwand,T.PK,DE,02,Q263280,node/1772512527,0.95,entry context 37 km (50% of the entries),
Kapellberg,10,locality,linked,osm,47.67417,9.80153,1500,,,,,,Q138506750,node/13608011312,0.85,,
Bruck,10,locality,linked,osm+geonames,48.02116,11.90781,2000,2943531,Bruck,P.PPLA4,DE,02,Q566574,relation/929920,0.95,entry context 28 km (75% of the entries),
Schlosspark,10,locality,linked,osm,48.22758,11.67282,800,,,,,,Q1464855,way/9962972,0.95,entry context 1 km (75% of the entries),
Ruhpolding,10,locality,linked,osm+geonames,47.76667,12.65000,2000,2843203,Ruhpolding,P.PPLA4,DE,02,Q73532,relation/941688,0.95,entry context 32 km (33% of the entries),
Schwingen-Weiher,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Galla-Weiher,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Pernanung,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Ringger Weiher,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Nordkanal,10,locality,review,osm+geonames,51.22825,6.56220,2000,2861924,Nordkanal,H.CNL,DE,07,Q316300,relation/16711301,0.65,496 km from the entries' other places (0% within 80 km),
Marburg,10,,linked,osm+geonames,50.80904,8.77069,2000,2873759,Marburg an der Lahn,P.PPLA3,DE,05,Q3869,relation/225494,0.95,,
Kappel,10,,linked,osm+geonames,48.11207,8.50196,1500,2893057,Kappel,P.PPL,DE,01,Q27479041,relation/12502358,0.95,,
Birkenberg,10,locality,linked,osm,48.52072,12.13081,300,,,,,,,node/7306641852,0.85,,
Schloss Elmau,10,locality,review,osm+geonames,47.47226,11.21334,1500,9881873,Kranzbach,P.PPL,DE,02,Q317768,relation/3363432,0.60,OSM tourism/hotel named after the place,
Neusiedler See,10,locality,linked,osm+geonames,47.83333,16.75000,1000,3052649,Neusiedler See,H.LK,AT,00,Q6396,relation/28066,0.95,,
Siebenbrunn,10,locality,linked,osm+geonames,48.10216,11.55729,1000,11610684,Siebenbrunn,P.PPLX,DE,02,,node/1700532848,0.95,entry context 4 km (100% of the entries),
Borkum,10,route,linked,osm+geonames,53.58094,6.69153,1500,2946206,Borkum,P.PPL,DE,06,Q17075271,relation/3788971,0.95,entry context 23 km (100% of the entries),
Kagura,10,settlement,review,osm,35.70540,139.57704,1500,,,,,,,node/13431999401,0.45,OSM shop/furniture named after the place,
Leipzig,10,locality,linked,osm+geonames,51.33962,12.37129,2000,2879139,Leipzig,P.PPLA3,DE,13,Q2079,relation/62649,0.95,,
Retterschwangertal,10,locality,no_match,,,,,,,,,,,,0.00,not geocoded yet (no Nominatim cache entry),
Lankesheimer Wäldchen,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Gerath,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Rotspitze,10,locality,linked,osm,47.18912,10.42242,300,,,,,,,node/517785641,0.95,entry context 36 km (50% of the entries),
Ismaninger Speichersee Westende,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Wolterbach,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Uffing,10,locality,linked,osm+geonames,47.71378,11.15034,1500,2820419,Uffing,P.PPL,DE,02,Q97013262,node/2836036766,0.95,entry context 28 km (33% of the entries),
Poltwitz,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Westteich,10,locality,review,osm,51.75402,8.03355,1000,,,,,,,way/60686243,0.55,424 km from the entries' other places (0% within 80 km),
Loisachwand,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Linum,10,locality,linked,osm+geonames,52.75957,12.87495,1500,2876957,Linum,P.PPL,DE,11,Q1681447,relation/9298249,0.95,entry context 10 km (100% of the entries),
Öresund,10,locality,linked,osm+geonames,55.79975,12.74753,2000,2612845,The Sound,H.SD,DK,00,Q104662,way/486348349,0.95,entry context 18 km (100% of the entries),
Sankt Veit,10,locality,linked,osm+geonames,47.31667,11.06667,1500,2766362,Sankt Veit,P.PPL,AT,07,,node/240051171,0.80,"far from most of the entries' other places (0% within 80 km, nearest 94 km)",
Herrmanning,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Isarinsel,10,locality,linked,osm,48.17390,11.62273,800,,,,,,Q124567899,relation/5333909,0.95,entry context 5 km (100% of the entries),
Westpark,10,locality,linked,osm+geonames,48.12255,11.51333,800,6544573,Westpark,L.PRK,DE,02,Q994667,relation/1395282,0.95,entry context 5 km (100% of the entries),
Nitzbecken,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Südwall,10,locality,review,osm,52.20805,7.18828,800,,,,,,,way/151537586,0.55,545 km from the entries' other places (0% within 80 km),
Nordvorfluter,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Wehrschanke,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Jungfernberger Seen,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Abhanggraben,10,,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Bb.,10,locality,review,geonames,49.82245,19.04686,2000,3103402,Bielsko-Biala,P.PPLA3,PL,83,,,0.65,GeoNames alternate name match (PL),
Baggersee I,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Vb.,10,locality,no_match,geonames,45.93333,8.55000,20000,3164567,Provincia Verbano-Cusio-Ossola,A.ADM2,IT,12,,,0.30,GeoNames alternate name match (IT),
Frenzmeier,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Bergen,10,locality,linked,geonames,50.15690,8.75472,1000,2950618,Bergen,P.PPLX,DE,05,Q819506,,0.90,GeoNames primary name match (DE); entry context 2 km (100% of the entries),
Wlb.,10,locality,no_match,osm,48.16228,16.33347,1500,,,,,,,node/4805327867,0.30,OSM railway/owner_change named after the place; 353 km from the entries' other places (0% within 80 km),
Lailling,10,locality,linked,osm+geonames,48.74349,12.82437,1500,2881848,Lailling,P.PPL,DE,02,Q27925558,node/2343818986,0.95,entry context 5 km (100% of the entries),
Kraftwerk Finsing,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Kanal auf Höhe Ki,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Pöckinger Alm,10,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Pfb.,10,locality,review,osm,47.86637,12.16607,1500,,,,,,,way/258450677,0.60,OSM building/yes named after the place,
